[16:42:12] [INFO] received Windows console close event; shutting log-core down
[16:43:47] [INFO] received Windows console close event; shutting log-core down
[16:44:49] [INFO] received Windows console close event; shutting log-core down
[16:45:37] [INFO] received Windows console close event; shutting log-core down
[16:46:13] [INFO] received Windows console close event; shutting log-core down
[16:46:57] [INFO] received Windows console close event; shutting log-core down
[16:47:53] [INFO] received Windows console close event; shutting log-core down
[16:50:17] [INFO] received Windows console close event; shutting log-core down
[17:13:45] [INFO] received Windows console close event; shutting log-core down
[17:14:56] [INFO] received Windows console close event; shutting log-core down
[18:40:15] [INFO] received Windows console close event; shutting log-core down
[18:41:42] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[18:43:46] [INFO] received Windows console close event; shutting log-core down
[18:44:02] [INFO] received Windows console close event; shutting log-core down
[18:44:20] [INFO] received Windows console close event; shutting log-core down
[18:45:03] [INFO] received Windows console close event; shutting log-core down
[18:45:51] [INFO] received Windows console close event; shutting log-core down
[18:55:20] [INFO] received Windows console close event; shutting log-core down
[18:57:14] [INFO] received Windows console close event; shutting log-core down
[18:59:17] [INFO] received Windows console close event; shutting log-core down
[19:01:31] [INFO] received Windows console close event; shutting log-core down
[19:15:35] [INFO] received Windows console close event; shutting log-core down
[19:22:43] [INFO] received Windows console close event; shutting log-core down
[19:27:40] [INFO] received Windows console close event; shutting log-core down
[19:38:24] [INFO] received Windows console close event; shutting log-core down
[01:49:37] [INFO] received Windows console close event; shutting log-core down
[01:49:38] [INFO] received Windows console close event; shutting log-core down
[01:51:19] [INFO] received Windows console close event; shutting log-core down
[03:50:44] [INFO] received Windows console close event; shutting log-core down
[05:28:50] [INFO] received Windows console close event; shutting log-core down
[05:30:29] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[20:59:55] [INFO] received Windows console close event; shutting log-core down
[21:01:34] [INFO] received Windows console close event; shutting log-core down
[21:03:24] [INFO] received Windows console close event; shutting log-core down
[21:05:30] [INFO] received Windows console close event; shutting log-core down
[21:07:40] [INFO] received Windows console close event; shutting log-core down
[21:54:41] [INFO] received Windows console close event; shutting log-core down
[22:15:55] [INFO] received Windows console close event; shutting log-core down
[22:15:57] [INFO] received Windows console close event; shutting log-core down
[22:15:57] [INFO] received Windows console close event; shutting log-core down
[22:17:39] [INFO] received Windows console close event; shutting log-core down
[22:17:41] [INFO] received Windows console close event; shutting log-core down
[22:18:13] [INFO] received Windows console close event; shutting log-core down
[22:22:51] [INFO] received Windows console close event; shutting log-core down
[22:24:19] [INFO] received Windows console close event; shutting log-core down
[22:25:36] [INFO] received Windows console close event; shutting log-core down
[22:26:27] [INFO] received Windows console close event; shutting log-core down
[22:27:13] [INFO] received Windows console close event; shutting log-core down
[22:28:09] [INFO] received Windows console close event; shutting log-core down
[22:31:55] [INFO] received Windows console close event; shutting log-core down
[00:02:07] [INFO] received Windows console close event; shutting log-core down
[00:03:59] [INFO] received Windows console close event; shutting log-core down
[00:06:32] [INFO] received Windows console close event; shutting log-core down
[00:07:30] [INFO] received Windows console close event; shutting log-core down
[00:07:31] [INFO] received Windows console close event; shutting log-core down
[00:07:49] [INFO] received Windows console close event; shutting log-core down
[00:11:13] [INFO] received Windows console close event; shutting log-core down
[00:16:39] [INFO] received Windows console close event; shutting log-core down
[00:19:09] [INFO] received Windows console close event; shutting log-core down
[00:21:03] [INFO] received Windows console close event; shutting log-core down
[00:21:54] [INFO] received Windows console close event; shutting log-core down
[00:22:29] [INFO] received Windows console close event; shutting log-core down
[00:25:39] [INFO] received Windows console close event; shutting log-core down
[00:27:10] [INFO] received Windows console close event; shutting log-core down
[00:34:30] [INFO] received Windows console close event; shutting log-core down
[00:37:09] [INFO] received Windows console close event; shutting log-core down
[00:38:58] [INFO] received Windows console close event; shutting log-core down
[01:30:10] [INFO] received Windows console close event; shutting log-core down
[13:15:41] [INFO] received Windows console close event; shutting log-core down
[13:19:09] [INFO] received Windows console close event; shutting log-core down
[13:20:57] [INFO] received Windows console close event; shutting log-core down
[13:21:41] [INFO] received Windows console close event; shutting log-core down
[13:25:05] [INFO] received Windows console close event; shutting log-core down
[13:25:35] [INFO] received Windows console close event; shutting log-core down
[13:26:01] [INFO] received Windows console close event; shutting log-core down
[13:26:36] [INFO] received Windows console close event; shutting log-core down
[13:27:00] [INFO] received Windows console close event; shutting log-core down
[13:44:47] [INFO] received Windows console close event; shutting log-core down
[13:45:53] [INFO] received Windows console close event; shutting log-core down
[13:47:31] [INFO] received Windows console close event; shutting log-core down
[13:51:28] [INFO] received Windows console close event; shutting log-core down
[13:52:32] [INFO] received Windows console close event; shutting log-core down
[13:52:55] [INFO] received Windows console close event; shutting log-core down
[13:54:34] [INFO] received Windows console close event; shutting log-core down
[13:58:08] [INFO] received Windows console close event; shutting log-core down
[13:59:01] [INFO] received Windows console close event; shutting log-core down
[13:59:33] [INFO] received Windows console close event; shutting log-core down
[14:00:00] [INFO] received Windows console close event; shutting log-core down
[14:01:18] [INFO] received Windows console close event; shutting log-core down
[14:04:56] [INFO] received Windows console close event; shutting log-core down
[15:04:25] [INFO] received Windows console close event; shutting log-core down
[15:04:32] [INFO] received Windows console close event; shutting log-core down
[15:07:50] [INFO] received Windows console close event; shutting log-core down
[15:08:08] [INFO] received Windows console close event; shutting log-core down
[15:09:17] [INFO] received Windows console close event; shutting log-core down
[15:42:58] [INFO] received Windows console close event; shutting log-core down
[15:43:37] [INFO] received Windows console close event; shutting log-core down
[15:45:34] [INFO] received Windows console close event; shutting log-core down
[15:46:09] [INFO] received Windows console close event; shutting log-core down
[16:04:32] [INFO] received Windows console close event; shutting log-core down
[16:06:35] [INFO] received Windows console close event; shutting log-core down
[16:31:38] [INFO] received Windows console close event; shutting log-core down
[16:33:34] [INFO] received Windows console close event; shutting log-core down
[16:34:22] [INFO] received Windows console close event; shutting log-core down
[16:34:44] [INFO] received Windows console close event; shutting log-core down
[16:36:45] [INFO] received Windows console close event; shutting log-core down
[16:37:42] [INFO] received Windows console close event; shutting log-core down
[16:41:18] [INFO] received Windows console close event; shutting log-core down
[16:43:56] [INFO] received Windows console close event; shutting log-core down
[17:00:58] [INFO] received Windows console close event; shutting log-core down
[17:03:17] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[17:03:28] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[17:20:30] [INFO] received Windows console close event; shutting log-core down
[20:10:28] [INFO] received Windows console close event; shutting log-core down
[20:43:50] [INFO] received Windows console close event; shutting log-core down
[19:22:33] [INFO] received Windows console close event; shutting log-core down
[19:23:09] [INFO] received Windows console close event; shutting log-core down
[19:23:39] [INFO] received Windows console close event; shutting log-core down
[19:24:00] [INFO] received Windows console close event; shutting log-core down
[19:24:04] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[19:42:44] [INFO] received Windows console close event; shutting log-core down
[19:44:22] [INFO] received Windows console close event; shutting log-core down
[15:51:45] [INFO] received Windows console close event; shutting log-core down
[15:56:20] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[16:01:37] [INFO] received Windows console close event; shutting log-core down
[16:09:04] [INFO] received Windows console close event; shutting log-core down
[16:51:05] [INFO] received Windows console close event; shutting log-core down
[16:52:24] [INFO] received Windows console close event; shutting log-core down
[16:59:36] [INFO] received Windows console close event; shutting log-core down
[17:22:24] [INFO] received Windows console close event; shutting log-core down
[17:57:10] [INFO] received Windows console close event; shutting log-core down
[18:15:04] [INFO] received Windows console close event; shutting log-core down
[18:17:12] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[18:31:26] [INFO] received Windows console close event; shutting log-core down
[18:20:36] [INFO] received Windows console close event; shutting log-core down
[15:51:18] [INFO] received Windows console close event; shutting log-core down
[17:46:21] [INFO] received Windows console close event; shutting log-core down
[18:57:13] [INFO] received Windows console close event; shutting log-core down
[19:03:12] [INFO] received Windows console close event; shutting log-core down
[21:03:47] [INFO] received Windows console close event; shutting log-core down
[21:06:14] [INFO] received Windows console close event; shutting log-core down
[21:07:32] [INFO] received Windows console close event; shutting log-core down
[21:15:03] [INFO] received Windows console close event; shutting log-core down
[21:26:21] [INFO] received Windows console close event; shutting log-core down
[13:06:33] [INFO] received Windows console close event; shutting log-core down
[13:14:59] [INFO] received Windows console close event; shutting log-core down
[13:42:42] [INFO] received Windows console close event; shutting log-core down
[13:44:38] [INFO] received Windows console close event; shutting log-core down
[13:52:43] [INFO] received Windows console close event; shutting log-core down
[13:54:34] [INFO] received Windows console close event; shutting log-core down
[14:02:37] [INFO] received Windows console close event; shutting log-core down
